first_name,last_name,SSN,Email
Tina,Fleming,619-16-7988,Tina.Fleming@email.com
Erica,Shah,164-51-7615,Erica.Shah@email.com
Paula,Ortiz,051-83-3290,Paula.Ortiz@email.com
James,Hendricks,776-83-2884,James.Hendricks@email.com
Lauren,King,197-94-2398,Lauren.King@email.com
David,Cowan,252-92-1832,David.Cowan@email.com
Andrew,Burton,296-23-6842,Andrew.Burton@email.com
Julian,Baker,337-40-7543,Julian.Baker@email.com
Scott,Castro,399-46-5595,Scott.Castro@email.com
Billy,Rodriguez,014-18-2503,Billy.Rodriguez@email.com
Darrell,Leblanc,005-82-7918,Darrell.Leblanc@email.com
David,Hammond,561-17-6312,David.Hammond@email.com
